[asn.txt]                                        2017-02-24 02:05:05Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates
on this information please contact the ARIN Registration Services Hostmaster
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 22128-22129             LACNIC-22128                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22130                   DAS-BGP-29                                         DMI15-ARIN (Tech), DMI15-ARIN (Abuse), DMI15-ARIN (Admin)
 22131                   JER-ASNBLOCK1                                      FLEMI3-ARIN (Tech), FLEMI3-ARIN (Admin), JP679-ARIN (Abuse), FLEMI3-ARIN (Abuse), JP679-ARIN (Tech)
 22132                   INTERNAP-BLK                                       IAC3-ARIN (Abuse), INO3-ARIN (Tech), INO3-ARIN (Admin)
 22133                   LACNIC-22133                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22134                   PETSMART                                           NAC74-ARIN (Admin), NTC16-ARIN (Tech), NTC16-ARIN (Abuse)
 22135                   SKECHERS-USA                                       CI75-ARIN (Admin), CI75-ARIN (Tech), TRA81-ARIN (NOC), ARA120-ARIN (Abuse), TRA81-ARIN (Tech)
 22136                   NYCT                                               IPADM360-ARIN (Tech), ABUSE1652-ARIN (Abuse), ACO45-ARIN (Admin), IPADM360-ARIN (NOC)
 22137                   BCW                                                IT41-ARIN (Tech), IT41-ARIN (Abuse), IT41-ARIN (Admin)
 22138                   FARM-MARKET                                        TKE63-ARIN (Abuse), TKE63-ARIN (Tech), TKE63-ARIN (Admin), TKE63-ARIN (NOC)
 22139                   FAODE-AS                                           STEPH6-ARIN (Admin), SMR10-ARIN (Abuse), SMR10-ARIN (Tech), STEPH6-ARIN (Tech)
 22140                   T-MOBILE-AS22140                                   ABUSE4857-ARIN (Abuse), DNSAD11-ARIN (Admin), DNSAD11-ARIN (Tech)
 22141                   JMARK-BUSINESS-SOLUTIONS                           NOC2861-ARIN (Tech), NOC2861-ARIN (Abuse), NOC2861-ARIN (NOC), NOC2861-ARIN (Admin)
 22142                   I-TECH                                             FMA66-ARIN (Tech), FMA66-ARIN (Abuse), FMA66-ARIN (Admin)
 22143                   APPTI-11-TOP001                                    WRIGH277-ARIN (Tech), WRIGH277-ARIN (NOC), WRIGH277-ARIN (Abuse), BARRY44-ARIN (Tech), WRIGH334-ARIN (Admin), KAE-ARIN (NOC), KAE-ARIN (Abuse), BARRY44-ARIN (Abuse), KAE-ARIN (Tech)
 22144                   CHAPMAN                                            TN289-ARIN (Admin), TN289-ARIN (Abuse), TN289-ARIN (Tech)
 22145                   RDSI                                               ITSUP21-ARIN (Abuse), ITSUP21-ARIN (NOC), ITSUP21-ARIN (Admin), ITSUP21-ARIN (Tech)
 22146                   LANDAM                                             FMA3-ARIN (Tech), FMA3-ARIN (Admin), FMA3-ARIN (Abuse)
 22147                   PACKETSURGE                                        NRA28-ARIN (Abuse), NOC316-ARIN (Tech), NRA28-ARIN (Admin)
 22148                   LACNIC-22148                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22149                   ASN-22149                                          IIM10-ARIN (Admin), IIM10-ARIN (Abuse), IIM10-ARIN (Tech)
 22150                   CARRIERHOUSE                                       COV4-ARIN (Tech), ADMIN1005-ARIN (Abuse), ADMIN1005-ARIN (Admin), COV4-ARIN (NOC), TECH210-ARIN (Tech), TECH210-ARIN (Abuse)
 22151                   BREAN-MURRAY                                       ITDEP70-ARIN (Tech), ITDEP70-ARIN (Admin), ITDEP70-ARIN (Abuse)
 22152                   OCHS-AS                                            ONAT-ARIN (Abuse), ONTS-ARIN (Tech), ONNOC-ARIN (Admin), ONAT-ARIN (Tech)
 22153                   CCI-NET01-HAWAII                                   ABUSE578-ARIN (Admin), ABUSE578-ARIN (NOC), ABUSE578-ARIN (Abuse), ABUSE578-ARIN (Tech)
 22154                   NUTECH                                             NRB-ARIN (Tech), ABUSE772-ARIN (Abuse), RW945-ARIN (Admin), RW945-ARIN (Tech)
 22155                   MSAPP                                              MP87-ARIN (Tech), MCKEN37-ARIN (Tech), BO209-ARIN (Tech), BO209-ARIN (Abuse), MP87-ARIN (Admin)
 22156                   MUSICNET                                           HOSTE15-ARIN (Admin), NOC13234-ARIN (NOC), ABUSE3842-ARIN (Abuse), HOSTE15-ARIN (Tech)
 22157                   AS1-A2W                                            BIENA3-ARIN (Admin), BIENA3-ARIN (Abuse), BIENA3-ARIN (Tech)
 22158                   AS22158                                            TECHN897-ARIN (Admin), TECHN897-ARIN (Abuse), TECHN897-ARIN (Tech)
 22159                   SUNY-SYSTEM-ADMIN                                  NOC1591-ARIN (Abuse), NOC1591-ARIN (Tech), NOC1591-ARIN (Admin), NOC1591-ARIN (NOC)
 22160                   AS22160                                            EA158-ARIN (Admin), EA158-ARIN (Abuse), EA158-ARIN (Tech)
 22161                   PROJECT-ROVER-ASN                                  PRIA-ARIN (Tech), PRIA-ARIN (Admin), PRIA-ARIN (NOC), PRIA-ARIN (Abuse)
 22162                   IP-SOLUTIONS-AYU                                   JCO228-ARIN (Abuse), JCO228-ARIN (Tech), JCO228-ARIN (NOC), JC532-ARIN (Admin)
 22163                   TAMHSC                                             SHO54-ARIN (Admin), SUPAK-ARIN (NOC), SHO54-ARIN (Abuse), SUPAK-ARIN (Tech)
 22164                   CCSD                                               SQUAT-ARIN (Abuse), TJM75-ARIN (NOC), SQUAT-ARIN (Tech), TJM75-ARIN (Abuse), TJM75-ARIN (Tech), SQUAT-ARIN (Admin)
 22165                   BGP-DUCKS-CA                                       DFU7-ARIN (Abuse), DFU7-ARIN (Tech), DFU7-ARIN (Admin)
 22166                   BERTRAM-COM2                                       WRIGH83-ARIN (Tech), ABUSE2827-ARIN (Abuse), WRIGH83-ARIN (NOC), JBE107-ARIN (Admin)
 22167                   FINTECH-INTERNET                                   FINTE-ARIN (Abuse), FINTE-ARIN (Admin), FINTE-ARIN (Tech), WA126-ARIN (Tech)
 22169                   OMNIS-ANYCAST-1                                    ABUSE2022-ARIN (Abuse), JF621-ARIN (Tech), JF621-ARIN (Admin)
 22170                   NEFMLS-JAX                                         BC354-ARIN (Admin), BC354-ARIN (Abuse), BC354-ARIN (Tech)
 22171                   IPSV-ASN1                                          NOC1567-ARIN (Tech), NOC1567-ARIN (Abuse), NOC1567-ARIN (Admin), CG628-ARIN (Tech)
 22172                   MITCHELL-INTERNATIONAL-DC2                         TECHM-ARIN (Tech), NOCMI-ARIN (NOC), WENGE-ARIN (Admin), ABUSE439-ARIN (Abuse)
 22173                   PDP-SUPERIOR                                       RJM122-ARIN (Admin), RJM122-ARIN (NOC), RJM122-ARIN (Tech), JRS113-ARIN (Tech), RJM122-ARIN (Abuse)
 22174                   NET-SUC-TECH-ALF                                   ZS256-ARIN (Admin), ZS256-ARIN (Tech), ZS256-ARIN (Abuse), DB1579-ARIN (Tech)
 22175                   TWOSIGMA                                           NETWO5478-ARIN (Tech), NETWO5478-ARIN (Admin), NETWO5478-ARIN (Abuse)
 22176                   PCI-ASN                                            RB1651-ARIN (NOC), GM654-ARIN (Admin), RB1651-ARIN (Tech), GM654-ARIN (Abuse)
 22177                   LACNIC-22177                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22178                   PA-SENATE                                          ALY-ARIN (NOC), DKA1-ARIN (Abuse), ALY-ARIN (Abuse), DKA1-ARIN (Tech), DKA1-ARIN (Admin), ALY-ARIN (Tech)
 22180                   CONPOINT                                           RICHA258-ARIN (Tech), DS7413-ARIN (Tech), DS7413-ARIN (Admin), DS7413-ARIN (Abuse)
 22181                   IVNET                                              LMI19-ARIN (Tech), TODDA1-ARIN (Admin), TODDA1-ARIN (Tech), TODDA1-ARIN (Abuse), LMI19-ARIN (Abuse)
 22183                   CISCO-ROS                                          CDT3-ARIN (Tech), CDT3-ARIN (Abuse), CDT3-ARIN (NOC), CDT3-ARIN (Admin)
 22184                   IRIDIUM-SATELLITE                                  BB1428-ARIN (Admin), ARINW-ARIN (Tech), BB1428-ARIN (Tech), BB1428-ARIN (Abuse), ARINW-ARIN (Abuse), ARINW-ARIN (NOC)
 22185                   LACNIC-22185                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22186                   CENTURYLINK-LEGACY-EMBARQ-GRNR                     ESC36-ARIN (Admin), CAD54-ARIN (Abuse), ESC36-ARIN (Tech)
 22187                   RAULAND-BORG                                       NOC3481-ARIN (Tech), NOC3481-ARIN (Admin), NOC3481-ARIN (Abuse), NOC3481-ARIN (NOC)
 22188                   QUANTECHSERV-INC-1                                 NOC2515-ARIN (Tech), NOC2515-ARIN (Abuse), NOC2515-ARIN (Admin), NOC2515-ARIN (NOC)
 22189                   AMRID                                              JJA198-ARIN (Abuse), JJA198-ARIN (Tech), JJA198-ARIN (Admin)
 22190                   KNIGHT                                             JKH17-ARIN (Tech), JKH17-ARIN (Admin), NETWO985-ARIN (NOC), JKH17-ARIN (Abuse)
 22191                   WILKES-COMM                                        LOGAN62-ARIN (Tech), JCA366-ARIN (Tech), JCA366-ARIN (NOC), LOGAN62-ARIN (NOC), JCA366-ARIN (Admin), JCA366-ARIN (Abuse)
 22192                   SSHENET                                            TP76-ARIN (Abuse), TP76-ARIN (Tech), TP76-ARIN (Admin), NOCSE1-ARIN (Abuse)
 22193                   THOMSONCORP                                        TRIPT-ARIN (Tech), TRIPA2-ARIN (Admin), TRIPA1-ARIN (Abuse)
 22194                   SWITCH-COMMUNICATIONS                              ABUSE860-ARIN (Abuse), NOC1746-ARIN (NOC), NETOP119-ARIN (Tech), NETOP119-ARIN (Admin), NOC1745-ARIN (NOC), NOC1746-ARIN (Tech)
 22195                   JANGO                                              ABUSE1809-ARIN (Abuse), NOC2884-ARIN (Tech), NOC2884-ARIN (NOC), NOC2884-ARIN (Admin)
 22196                   NEULION                                            SYE11-ARIN (NOC), NMR1-ARIN (Admin), SYE11-ARIN (Tech), SYE11-ARIN (Abuse), JMA421-ARIN (Abuse)
 22197                   APPS                                               NOC1488-ARIN (Tech), NOC1488-ARIN (NOC), NOC1488-ARIN (Admin), NOC1488-ARIN (Abuse)
 22198                   LAFAYE                                             NETWO2249-ARIN (Tech), ABUSE1581-ARIN (Abuse), NETWO2249-ARIN (Admin)
 22199                   MEGAPATH8-US                                       GCIA1-ARIN (Tech), GCCS-ARIN (Abuse), GCARI-ARIN (Admin)
 22200                   BLOOMINGDALE-COMMUNICATIONS                        REL38-ARIN (Abuse), REL38-ARIN (NOC), BRAND32-ARIN (Abuse), REL38-ARIN (Admin), BRAND32-ARIN (Tech)
 22202                   CSAT                                               HAMID7-ARIN (Tech), CIS16-ARIN (NOC), HAMID7-ARIN (NOC), HAMID7-ARIN (Abuse), HAMID7-ARIN (Admin)
 22203                   NAVITAIRE                                          HOPKI96-ARIN (Tech), AW463-ARIN (Abuse), PREEC1-ARIN (Admin), PREEC1-ARIN (Tech), AW463-ARIN (Tech)
 22204                   ACETO                                              TS881-ARIN (Abuse), TS881-ARIN (Tech), TS881-ARIN (Admin)
 22205                   DATAPIPE-SEA                                       DH1029-ARIN (Admin), DATAP-ARIN (Abuse), DATAP3-ARIN (Tech), AF171-ARIN (Tech)
 22206                   GOOD-SAM                                           BEUKE-ARIN (NOC), BEUKE-ARIN (Admin), BEUKE-ARIN (Tech), BEUKE-ARIN (Abuse)
 22207                   AKAMAI-AS                                          SJS98-ARIN (Tech), IPADM11-ARIN (Tech), SJS98-ARIN (Abuse), SJS98-ARIN (Admin), ZIPKI-ARIN (Tech)
 22208                   CTC-AS                                             NETWO1371-ARIN (Abuse), NETWO1371-ARIN (Admin), NETWO1371-ARIN (Tech), NETWO1371-ARIN (NOC)
 22209                   RUDYS-AS                                           AMA97-ARIN (Admin), MJC77-ARIN (Abuse), MJC77-ARIN (Tech)
 22210                   MOJO-ASN                                           NOCIA2-ARIN (Abuse), NOCIA2-ARIN (Tech), NOCIA2-ARIN (Admin)
 22211                   INTERNAP-FCP                                       IAC3-ARIN (Abuse), INO3-ARIN (Tech), INO3-ARIN (Admin)
 22212                   INTERNAP-PEERING-NETWORK                           IAC3-ARIN (Abuse), INO3-ARIN (Tech), INO3-ARIN (Admin)
 22213                   SALK-AS                                            NETWO1458-ARIN (NOC), NETWO1458-ARIN (Tech), NETWO1458-ARIN (Admin), NETWO1458-ARIN (Abuse)
 22214                   MEDELAINC                                          SYSTE476-ARIN (NOC), SYSTE476-ARIN (Tech), SYSTE476-ARIN (Abuse), SYSTE476-ARIN (Admin)
 22215                   BHSU                                               DRO320-ARIN (Tech), FNN2-ARIN (NOC), TRH11-ARIN (Abuse), FNN2-ARIN (Admin), TK557-ARIN (Tech)
 22216                   SIEMENS-PLM                                        BOGNE-ARIN (Tech), BILLI139-ARIN (Tech), BOGNE-ARIN (Abuse), BOGNE-ARIN (Admin), BOGNE-ARIN (NOC)
 22218                   ITC-GLOBAL                                         MARTI210-ARIN (Tech), CONNE79-ARIN (Tech), MES55-ARIN (Admin), IAP4-ARIN (Abuse), MES55-ARIN (Tech)
 22219                   AO-MSP-1                                           ANT1-ARIN (Tech), AONOC-ARIN (Admin), ANT1-ARIN (Abuse), AONOC1-ARIN (NOC)
 22220                   EACOMARTS                                          EAMAI1-ARIN (Abuse), EAMAI1-ARIN (Admin), EAMAI1-ARIN (Tech)
 22221                   GMACI-COMM                                         WG147-ARIN (Tech), WG147-ARIN (Admin), WG147-ARIN (Abuse)
 22222                   OMAHASTEAKS                                        TECHC-ARIN (Tech), ADMIN139-ARIN (Admin), TECHC-ARIN (Abuse), REMPE-ARIN (Tech)
 22223                   MVTV-AS1                                           JOHNS59-ARIN (Tech), ABUSE5662-ARIN (Abuse), JOHNS59-ARIN (Admin)
 22225                   PRESTIGE-BRANDS-INC                                SOLAN6-ARIN (NOC), SOLAN6-ARIN (Admin), SOLAN6-ARIN (Abuse), SOLAN6-ARIN (Tech)
 22226                   SFUSD                                              CKN23-ARIN (Admin), CKN23-ARIN (Abuse), CKN23-ARIN (Tech), JL1628-ARIN (Tech)
 22227                   LACNIC-22227                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22228                   FSI-INTERNATIONAL-1                                DL2484-ARIN (Admin), DL2484-ARIN (Abuse), DL2484-ARIN (NOC), DL2484-ARIN (Tech)
 22229                   WORLDPAC                                           KUNGE-ARIN (Tech), CRANF-ARIN (Abuse), CRANF-ARIN (Tech), CRANF-ARIN (Admin)
 22230                   NETDOCUMENTS-US                                    NAD80-ARIN (Tech), ADMIN5470-ARIN (Abuse), NAD80-ARIN (NOC), ADMIN5470-ARIN (Admin)
 22233                   CNB-AS                                             GARCI255-ARIN (Tech), GARCI255-ARIN (Abuse), GARCI255-ARIN (NOC), GARCI255-ARIN (Admin)
 22234                   RELATED-COMPANIES-BGP-AS1                          BRR2-ARIN (Tech), BRR2-ARIN (Admin), BRR2-ARIN (NOC), BRR2-ARIN (Abuse)
 22235                   BUSINESS-DECISION-NA                               REIDY-ARIN (Tech), REIDY-ARIN (Admin), REIDY-ARIN (Abuse)
 22236                   UNITEDBANCORP                                      ITC1-ARIN (NOC), ITC1-ARIN (Admin), ITC1-ARIN (Abuse), ITC1-ARIN (Tech)
 22237                   ICN                                                CCS25-ARIN (Tech), CCS25-ARIN (Admin), CCS25-ARIN (Abuse), CCS25-ARIN (NOC)
 22238                   DARPA                                              ACR14-ARIN (Abuse), ACR14-ARIN (Tech), SJ395-ARIN (Admin), SJ395-ARIN (Tech)
 22239                   TRADINGTECH-CORP                                   TNO40-ARIN (Abuse), ARINI-ARIN (Tech), TNO40-ARIN (Tech), TNO40-ARIN (Admin)
 22241                   IC2NET                                             HELMA-ARIN (Abuse), HELMA-ARIN (Tech), HELMA-ARIN (NOC), HELMA-ARIN (Admin)
 22242                   CORVISA-MPLS                                       BREZI-ARIN (Tech), BREZI-ARIN (Admin), BREZI-ARIN (Abuse)
 22243                   CENTRACOMM                                         GREGA5-ARIN (Admin), NOC11977-ARIN (Abuse), NOC11977-ARIN (NOC), NDN2-ARIN (Tech)
 22244                   MOTOROLA-MOBILITY                                  TLL11-ARIN (Tech), SOC41-ARIN (Abuse), SOC41-ARIN (NOC), TLL11-ARIN (Admin), MMINO-ARIN (NOC), MMINO-ARIN (Abuse), MMINO-ARIN (Tech)
 22245                   WICHITA-STATE-U                                    HOSTM636-ARIN (Admin), HOSTM636-ARIN (Tech), HOSTM636-ARIN (Abuse)
 22246                   ASN-22246                                          NETWO4824-ARIN (Abuse), NETWO4824-ARIN (Tech), NETWO4824-ARIN (NOC), MAR193-ARIN (Admin)
 22247                   LETOURNEAUUNIVERSITY                               NAS6-ARIN (Abuse), KJ280-ARIN (NOC), KJ280-ARIN (Tech), KJ280-ARIN (Admin)
 22248                   WY-JUDICIAL                                        NOC2554-ARIN (Tech), NOC2554-ARIN (Abuse), NOC2554-ARIN (NOC), NOC2554-ARIN (Admin)
 22249                   MAXEL-4                                            DNA46-ARIN (Tech), DNA46-ARIN (Admin), DNA46-ARIN (Abuse), DNA46-ARIN (NOC), VINCI1-ARIN (NOC), VINCI1-ARIN (Tech)
 22250                   LACNIC-22250                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22251                   REMC                                               HINER1-ARIN (Tech), MR1115-ARIN (Abuse), MR1115-ARIN (Admin), HINER1-ARIN (NOC), MR1115-ARIN (NOC), MR1115-ARIN (Tech), HINER1-ARIN (Abuse)
 22252                   AS22252                                            HECHT1-ARIN (Tech), HECHT1-ARIN (Admin), CSD7-ARIN (NOC), COLIN16-ARIN (Tech), HECHT1-ARIN (Abuse)
 22253                   IHIRELLC                                           NETWO2245-ARIN (Abuse), NETWO2245-ARIN (Admin), NETWO2245-ARIN (Tech), NETWO2245-ARIN (NOC)
 22254                   ADOBE-22254                                        ASNE-ARIN (Tech), ASNE-ARIN (Admin), ATIS-ARIN (Abuse), COLES-ARIN (Tech)
 22255                   ALLEGHENYHEALTHNETWORK                             PK81-ARIN (Admin), PK81-ARIN (Abuse), PK81-ARIN (Tech), PK81-ARIN (NOC)
 22256                   FIRST-SOUTHWEST                                    LDP1-ARIN (Admin), LDP1-ARIN (Abuse), LDP1-ARIN (Tech), ME443-ARIN (Tech)
 22257                   1025CONNECT                                        DEL112-ARIN (Tech), DEL112-ARIN (Admin), DEL112-ARIN (Abuse), DEL112-ARIN (NOC)
 22258                   COMCAST-22258                                      NAPO-ARIN (Abuse), IC161-ARIN (Admin), IC161-ARIN (Tech)
 22259                   VITAMIX-001                                        NOC2924-ARIN (Abuse), NOC2924-ARIN (Tech), NOC2924-ARIN (Admin), EY48-ARIN (Tech)
 22260                   PERSHING                                           DNSAD117-ARIN (Abuse), DNSAD117-ARIN (Tech), DNSAD117-ARIN (Admin)
 22261                   SDCWA-ORG                                          GSI-ARIN (Tech), ABA157-ARIN (Admin), GSI-ARIN (Abuse)
 22262                   IDENTRUST-DR-ASN                                   BANGE4-ARIN (Abuse), ISIKO1-ARIN (Tech), ISIKO1-ARIN (Admin), ISIKO1-ARIN (Abuse), BANGE4-ARIN (Tech), ISIKO1-ARIN (NOC), BANGE4-ARIN (NOC)
 22263                   NRHSAS                                             SHERI12-ARIN (NOC), SHERI12-ARIN (Tech), SHERI12-ARIN (Admin), SHERI12-ARIN (Abuse)
 22264                   BLACKMESH                                          BNO34-ARIN (Abuse), BNO34-ARIN (Tech), BNO34-ARIN (Admin), BNO34-ARIN (NOC)
 22265                   GENESIS-OMAHA-NE                                   BW900-ARIN (Tech), BW900-ARIN (NOC), BW900-ARIN (Admin), BW900-ARIN (Abuse)
 22266                   KNIGHT-INC                                         OPENA-ARIN (Tech), OPENA-ARIN (Abuse), OPENA-ARIN (Admin)
 22267                   HSL-ASN                                            WT27-ARIN (Tech), WT27-ARIN (Abuse), MAB27-ARIN (Admin)
 22268                   LEVEL365                                           JJO208-ARIN (Admin), SCH167-ARIN (Tech), NOC3341-ARIN (Abuse), NOC3341-ARIN (NOC)
 22269                   CHTR-WV-MID-ATLANTIC                               IPADD1-ARIN (Tech), NNOC16-ARIN (NOC), ABUSE19-ARIN (Abuse), IPADD1-ARIN (Admin)
 22270                   BANGOR-SAVINGS-BANK                                ADMIN751-ARIN (Admin), TECHP2-ARIN (Abuse), NOC1626-ARIN (NOC), TECHP2-ARIN (Tech)
 22273                   GWCCNET-ASN                                        JJ662-ARIN (Admin), JJ662-ARIN (Tech), JJ662-ARIN (Abuse)
 22274                   SMP-VIR                                            SMP4-ARIN (Abuse), SMP4-ARIN (Admin), SMP4-ARIN (Tech)
 22275                   SECURENET-SYSTEMS                                  HOSTM1151-ARIN (Tech), HOSTM1151-ARIN (Admin), ABUSE1869-ARIN (Abuse)
 22276                   BANKUNITED                                         ITWAN1-ARIN (NOC), ITWAN1-ARIN (Abuse), ITWAN1-ARIN (Tech), CWA133-ARIN (Admin)
 22277                   TIL-ASN                                            WT27-ARIN (Tech), ASNAD7-ARIN (Admin), WT27-ARIN (Abuse)
 22278                   NC-2                                               NETTI-ARIN (Admin), NETTI1-ARIN (Abuse), NETTI-ARIN (NOC), NETTI-ARIN (Tech), NETTI-ARIN (Abuse)
 22279                   AGGREGATEKNOWLEDGE                                 OPERA164-ARIN (Tech), OPERA164-ARIN (Admin), OPERA164-ARIN (Abuse), OPERA164-ARIN (NOC)
 22280                   FIRSTHEALTHBGP                                     CM1191-ARIN (Admin), CM1191-ARIN (Abuse), CM1191-ARIN (Tech)
 22281                   REDUNDANCY                                         NOC13259-ARIN (Abuse), BESSE4-ARIN (Tech), BESSE4-ARIN (Admin), NOC13259-ARIN (NOC)
 22282                   COSMO-MAIN                                         ARCHI18-ARIN (Admin), ARCHI18-ARIN (Abuse), ARCHI18-ARIN (Tech), ARCHI18-ARIN (NOC)
 22283                   SIDLEY                                             MEV1-ARIN (Abuse), DIENE7-ARIN (Abuse), MEV1-ARIN (Tech), MEV1-ARIN (Admin), KUNAS-ARIN (Abuse)
 22285                   PARASOFT                                           SYSTE308-ARIN (Abuse), SYSTE308-ARIN (Tech), SYSTE308-ARIN (Admin)
 22286                   INTERSPOTS                                         MGV4-ARIN (Abuse), MGV4-ARIN (Tech), MGV4-ARIN (Admin), GH613-ARIN (Tech)
 22287                   THUMB-CELLULAR                                     GUNDE24-ARIN (Abuse), GUNDE24-ARIN (Admin), GUNDE24-ARIN (NOC), GUNDE24-ARIN (Tech), DKA63-ARIN (Abuse), DKA63-ARIN (Tech), DKA63-ARIN (NOC)
 22288                   RFBKCORP                                           JTR118-ARIN (Tech), JTR118-ARIN (Abuse), JTR118-ARIN (NOC), JTR118-ARIN (Admin)
 22290                   VENTASREIT                                         BRENN25-ARIN (NOC), BRENN25-ARIN (Abuse), BRENN25-ARIN (Admin), BRENN25-ARIN (Tech)
 22291                   CHARTER-LA                                         IPADD1-ARIN (Tech), NNOC16-ARIN (NOC), ABUSE19-ARIN (Abuse), IPADD1-ARIN (Admin)
 22293                   INSP-AS1                                           TNE59-ARIN (Tech), TNE59-ARIN (Admin), TNE59-ARIN (Abuse), SOC39-ARIN (Abuse), SOC39-ARIN (NOC)
 22294                   CORE-82-INC                                        SCHWA14-ARIN (Admin), SCHWA14-ARIN (NOC), SCHWA14-ARIN (Tech), SCHWA14-ARIN (Abuse), JSS31-ARIN (NOC), JSS31-ARIN (Abuse), JSS31-ARIN (Tech)
 22296                   CONN-NET                                           DU46-ARIN (Tech), DU46-ARIN (Admin), DU46-ARIN (Abuse)
 22297                   JELECOS-AS-01                                      NOC13349-ARIN (NOC), NOC13349-ARIN (Abuse), SSM133-ARIN (Tech), SSM133-ARIN (Admin)
 22298                   XLITT                                              NETWO7677-ARIN (Abuse), NETWO7677-ARIN (NOC), NETWO7677-ARIN (Admin), NETWO7677-ARIN (Tech)
 22299                   GCRONLINE                                          GR1295-ARIN (NOC), GR1295-ARIN (Admin), GR1295-ARIN (Tech), GR1295-ARIN (Abuse)
 22300                   WIKIA                                              DWW7-ARIN (Tech), JAGIE1-ARIN (Tech), ABE87-ARIN (NOC), DWW7-ARIN (Abuse), CHROB1-ARIN (Tech), DWW7-ARIN (Admin)
 22301                   MDAFEDERAL                                         SGA47-ARIN (NOC), SGA47-ARIN (Admin), SGA47-ARIN (Tech), SGA47-ARIN (Abuse)
 22302                   INOC                                               NETWO235-ARIN (Admin), NETWO235-ARIN (NOC), SECUR3-ARIN (Abuse), NETWO235-ARIN (Tech)
 22303                   NEWPALTZEDU                                        JLE44-ARIN (Admin), NOC2073-ARIN (Abuse), NOC2073-ARIN (Tech), NOC2073-ARIN (NOC)
 22304                   CITY-OF-MARIETTA-GEORGIA                           BAKER8-ARIN (Abuse), DEM64-ARIN (Admin), BAKER8-ARIN (Tech)
 22305                   LACNIC-22305                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22306                   FISC-JM                                            DHNS-ARIN (Tech), DHNS-ARIN (Admin), DHNS-ARIN (Abuse), JAC1-ARIN (Tech)
 22307                   VINS-AS-7                                          ROUTI1-ARIN (Tech), ROUTI-ARIN (Admin), ABUSE360-ARIN (Abuse)
 22308                   VIDYO                                              ITDEP101-ARIN (NOC), ITDEP101-ARIN (Tech), ITDEP101-ARIN (Abuse), ITDEP101-ARIN (Admin)
 22309                   ASN1                                               NETWO2720-ARIN (Tech), EBUSI-ARIN (Admin), NETWO2720-ARIN (NOC), EBUSI-ARIN (Abuse)
 22310                   LOI                                                CKN23-ARIN (Tech), CKN23-ARIN (Admin), DS2500-ARIN (Abuse), DS2500-ARIN (Tech)
 22311                   FAIRNET-LLC                                        NETWO1653-ARIN (Tech), TWNAB-ARIN (Abuse), NETWO1653-ARIN (Admin), NETWO1653-ARIN (NOC)
 22312                   TECO-ENERGY                                        AJ263-ARIN (Admin), AJ263-ARIN (Abuse), JLO235-ARIN (Tech), AJ263-ARIN (Tech)
 22313                   LACNIC-22313                                       LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 22314                   COMMUNICATIONS-CORPORATION-OF-AMERICA              TDO43-ARIN (Abuse), TDO43-ARIN (Admin), TDO43-ARIN (Tech)
 22315                   SBCSS                                              ZS80-ARIN (Admin), ZS80-ARIN (Tech), ZS80-ARIN (Abuse)
 22316                   COTCCONNECTIONS                                    CCS29-ARIN (NOC), CCS29-ARIN (Admin), CCS29-ARIN (Tech), CCS29-ARIN (Abuse)
 22317                   F5-NETWORKS                                        IPADM382-ARIN (Abuse), IPADM382-ARIN (Tech), IPADM382-ARIN (Admin)
 22318                   ASN-CXA-CF-22318-CBS                               BERUB3-ARIN (Admin), BERUB3-ARIN (Tech), ADA131-ARIN (Tech), RWA196-ARIN (Tech), NIA16-ARIN (Tech), BAABO-ARIN (Tech), IC146-ARIN (Abuse)
 22319                   FOGODC                                             HANEY10-ARIN (NOC), HANEY10-ARIN (Abuse), HOGGS-ARIN (Tech), HANEY10-ARIN (Admin), HANEY10-ARIN (Tech)
 22320                   MVECA-AS                                           BOSSE-ARIN (Abuse), BOSSE-ARIN (Tech), BOSSE-ARIN (Admin), BOSSE-ARIN (NOC)
 22321                   PLUMCHOICE-DC1                                     EFC-ARIN (Abuse), EFC-ARIN (Admin), EFC-ARIN (Tech), EFC-ARIN (NOC)
 22322                   OBERLIN-NET                                        ABUSE4711-ARIN (Abuse), NEWOR4-ARIN (Tech), NEWOR4-ARIN (Admin)
